objid,ra,dec,u,g,r,i,z,redshift,redshift_err
1.23767E+18,153.7083479,27.01924253,23.16722,21.70466,21.27398,20.94044,20.14051,1.048716,0.000140824
1.23767E+18,128.2808117,18.72917254,23.13857,22.62963,22.47451,22.07446,21.06025,1.078081,0.00013344
1.23767E+18,126.642348,17.8509227,23.12325,22.32483,21.9159,21.64986,20.8959,1.174551,9.47E-05
1.23767E+18,133.4956628,19.41874182,21.915,21.78933,21.43179,21.2697,20.64513,1.11905,0.000108285
1.23767E+18,161.482952,27.15081024,25.25195,22.43986,21.92893,21.72794,21.62782,1.304673,0.000243357
1.23767E+18,133.5668465,22.8339088,23.71899,23.22591,22.53174,21.7968,21.5999,1.054237,8.77E-05
1.23767E+18,137.5720076,23.43631285,23.54019,23.22898,22.33269,21.93342,22.86965,1.049813,9.97E-05
1.23767E+18,139.8955006,23.80349329,22.85047,22.49698,21.53204,21.31945,20.27767,1.023435,0.000141986
1.23767E+18,17.32942517,-1.033650139,24.29509,22.78751,21.83194,21.56424,20.7709,1.051007,0.000171418
1.23767E+18,153.7071266,28.83308369,23.56793,22.30953,21.73153,21.16048,20.68651,1.086281,0.000244873
1.23767E+18,152.2737183,27.99749332,23.12404,22.71023,21.96682,21.7926,20.59389,1.033663,0.000122818
1.23767E+18,163.2716098,31.2068308,22.27368,21.70424,21.71209,21.12528,20.65125,1.09275,6.03E-05
1.23767E+18,139.2125518,26.7306203,22.56756,22.84502,21.95292,21.19918,20.6854,1.100175,0.000106338
1.23767E+18,152.2632928,29.95259238,23.12444,22.75875,22.02561,21.97823,21.10579,1.170732,0.000222478
1.23766E+18,139.9166808,28.23411657,23.67424,22.51358,22.02231,21.55725,20.63342,1.033379,0.000102626
1.23766E+18,137.5554542,26.7311576,25.52542,23.04226,22.3544,22.4083,22.49781,1.052164,0.00014654
1.23766E+18,133.5667684,24.86730163,22.6477,22.75451,22.26281,21.8424,21.30374,1.023593,0.000157648
1.23766E+18,139.8971835,29.1114811,23.29039,22.72253,22.19289,21.85879,20.81421,1.061332,9.05E-05
1.23766E+18,132.4927859,27.9167488,21.66653,22.34865,21.74012,21.36761,21.20862,1.163191,0.000105796
1.23766E+18,139.9211955,30.91301895,22.53607,22.47957,21.70118,22.37195,20.61154,1.100492,0.000203103
1.23766E+18,132.4840654,25.81906406,22.6942,22.35876,22.12576,21.48562,20.7198,1.002628,7.44E-05
1.23766E+18,26.78935677,0.852258548,22.79021,22.22332,21.41514,21.15832,20.45238,1.14296,0.000333607
1.23766E+18,17.31655465,0.8649877,23.84906,23.00725,21.61241,20.96427,20.46908,1.104198,0.000198714
1.23766E+18,7.947439132,0.205043898,22.46993,22.42276,21.68447,21.36053,20.72839,1.043985,0.000133393
1.23766E+18,37.44548443,-0.255362047,23.39466,22.98165,22.07779,21.94724,20.76206,1.066853,0.000105393
